Date,VNI_Close,Change,Volume,Transaction_value,a,b,c,d
29/06/2022,"1218,09","-0,01(0,00%)",560.588.815,"11.839,96 tỷ",36.997.108,"1.489,85 tỷ",40.114.548,"1.522,97 tỷ"
28/06/2022,"1218,10","+15,28(+1,27%)",588.386.089,"14.425,75 tỷ",43.409.100,"1.375,66 tỷ",35.409.500,"1.218,20 tỷ"
27/06/2022,"1202,82","+17,34(+1,46%)",526.954.723,"12.315,30 tỷ",34.960.700,"1.149,60 tỷ",24.887.700,"896,85 tỷ"
24/06/2022,"1185,48","-3,40(-0,29%)",478.685.295,"10.179,96 tỷ",27.562.400,"897,83 tỷ",32.970.800,"980,56 tỷ"
23/06/2022,"1188,88","+19,61(+1,68%)",440.781.740,"10.159,54 tỷ",44.531.325,"1.423,44 tỷ",36.696.009,"1.069,72 tỷ"
22/06/2022,"1169,27","-3,20(-0,27%)",592.476.031,"13.314,59 tỷ",40.088.900,"1.346,13 tỷ",35.666.900,"1.317,31 tỷ"
21/06/2022,"1172,47","-7,93(-0,67%)",694.932.235,"15.769,03 tỷ",57.732.000,"1.789,78 tỷ",48.662.500,"1.407,62 tỷ"
20/06/2022,"1180,40","-36,90(-3,03%)",669.545.030,"15.439,52 tỷ",38.669.819,"1.344,65 tỷ",62.219.569,"1.949,08 tỷ"
17/06/2022,"1217,30","-19,33(-1,56%)",738.577.752,"17.333,71 tỷ",87.184.100,"2.616,85 tỷ",63.756.460,"2.301,34 tỷ"
16/06/2022,"1236,63","+22,70(+1,87%)",561.693.405,"14.749,24 tỷ",47.819.300,"1.718,15 tỷ",28.429.600,"1.019,22 tỷ"
15/06/2022,"1213,93","-16,38(-1,33%)",688.119.659,"16.466,52 tỷ",42.814.300,"1.605,26 tỷ",51.973.900,"1.785,97 tỷ"
14/06/2022,"1230,31","+3,27(+0,27%)",560.885.130,"14.515,84 tỷ",41.057.200,"1.626,09 tỷ",34.177.000,"1.314,45 tỷ"
13/06/2022,"1227,04","-57,04(-4,44%)",733.451.730,"18.523,28 tỷ",38.174.000,"1.368,43 tỷ",53.848.700,"1.550,52 tỷ"
10/06/2022,"1284,08","-23,72(-1,81%)",603.294.320,"16.957,23 tỷ",28.147.900,"1.026,89 tỷ",28.398.600,"939,43 tỷ"
09/06/2022,"1307,80","-0,11(-0,01%)",465.657.985,"12.680,23 tỷ",36.924.700,"1.247,89 tỷ",28.415.785,"1.065,88 tỷ"
08/06/2022,"1307,91","+16,56(+1,28%)",584.570.959,"16.756,74 tỷ",39.890.900,"1.497,23 tỷ",30.457.200,"1.222,69 tỷ"
07/06/2022,"1291,35","+1,34(+0,10%)",670.865.494,"17.834,97 tỷ",45.003.000,"1.758,30 tỷ",39.207.915,"1.598,32 tỷ"
06/06/2022,"1290,01","+2,03(+0,16%)",589.884.869,"16.942,09 tỷ",46.006.440,"2.078,78 tỷ",48.698.442,"2.024,42 tỷ"
03/06/2022,"1287,98","-0,64(-0,05%)",473.812.552,"12.912,38 tỷ",18.893.260,"765,14 tỷ",25.023.460,"947,69 tỷ"
02/06/2022,"1288,62","-10,90(-0,84%)",572.548.673,"16.463,89 tỷ",28.373.250,"1.082,39 tỷ",47.129.533,"1.619,10 tỷ"
01/06/2022,"1299,52","+6,84(+0,53%)",573.626.950,"16.049,22 tỷ",43.058.900,"1.797,87 tỷ",34.055.600,"1.198,06 tỷ"
31/05/2022,"1292,68","-1,24(-0,10%)",591.086.248,"16.108,41 tỷ",56.494.300,"2.042,67 tỷ",46.107.357,"1.650,20 tỷ"
30/05/2022,"1293,92","+8,47(+0,66%)",587.227.695,"16.496,24 tỷ",85.715.300,"3.357,74 tỷ",39.837.900,"1.652,36 tỷ"
